hin,hout,
798,337
631,219
416,153
247,89
203,84
160,260
299,790
419,1586
530,1993
909,2195
1302,2570
1580,3060
1681,3220
1802,3298
1759,3413
1763,3312
1731,3130
1631,2658
1364,2056
1142,1618
892,1228
671,1007
538,925
345,559
179,853
106,688
93,445
53,234
102,208
271,200
991,363
2032,415
2329,613
2240,888
2315,1285
2769,1540
3032,1745
3084,1799
2954,1742
3060,1871
3344,1640
3205,1672
2346,1491
1588,1228
1016,971
751,768
589,633
381,413
219,239
121,162
102,119
63,66
83,83
291,236
1067,635
2666,1319
2441,1807
2304,1993
2365,2580
2862,2915
3044,3033
3042,3312
2943,3302
3332,3327
3283,3180
3311,2827
2364,2224
1562,1782
1140,1343
884,1152
625,885
369,658
238,459
164,306
107,250
68,141
99,127
262,193
972,359
2654,667
2646,1110
2396,1626
2544,2052
2764,2538
3167,2772
3207,2867
3271,2784
3248,2709
3410,2480
3217,2205
2537,1951
1756,1570
1313,1220
1071,1018
825,743
644,584
456,362
315,327
223,202
119,103
117,101
164,136
380,270
672,500
1109,742
1676,1109
2118,1601
2558,1568
2858,2250
2836,2258
2936,2268
2760,2081
2537,2033
2331,1761
1955,1502
1546,1083
1177,856
950,643
839,484
620,361
445,184
311,120
287,82
120,51
83,81
116,317
292,1033
482,2582
807,2477
1271,2243
1667,2525
1706,2713
2450,3093
2312,3107
2405,3153
2187,3131
2061,3128
1899,3347
1723,2362
1251,1468
850,1055
550,737
503,554
358,346
185,237
102,97
82,72
77,55
95,75
326,310
1141,1134
3061,3014
2785,2682
2393,2501
2461,2431
2610,2627
2899,2910
2891,2768
3105,3111
3250,3148
3308,3092
3351,3270
2484,2444
1770,1540
1088,1077
744,809
552,567
435,337
253,205
123,122
98,86
62,48
105,95
308,280
1175,1133
3059,3029
2866,2638
2451,2308
2418,2291
2644,2448
2887,2800
2846,2672
3014,3013
3102,3080
3282,3169
3474,3263
2418,2348
1815,1540
1168,1160
968,820
582,600
364,386
236,236
102,123
80,92
78,69
94,94
310,326
1143,1082
3036,3075
2977,2507
2458,2368
2413,2319
2511,2611
2938,2911
2844,2686
2914,3166
3205,3156
3309,3210
3468,3084
2685,2472
1820,1723
1385,1203
1001,830
611,620
414,490
220,314
147,160
108,114
76,69
87,85
360,305
1161,1036
3039,3012
2900,2837
2504,2536
2584,2411
2663,2839
2853,3147
2896,3152
3200,3332
3163,3421
3417,3402
3358,3303
2565,2552
1726,1878
1270,1377
1002,1194
692,929
444,678
240,480
184,325
126,233
87,108
106,110
311,176
1153,400
3104,684
2810,1303
2403,1887
2512,2188
2851,2696
3124,2844
3066,2914
3252,2742
3460,2743
3390,2626
3340,2432
2557,2144
1863,1591
1447,1146
1122,1137
935,944
733,757
455,560
330,339
299,251
156,126
133,102
203,142
417,285
763,486
1247,775
1825,1195
2269,1679
2721,1772
2877,2436
2876,2338
2958,2285
2763,2085
2431,2077
2400,1809
1988,1613
1609,1121
1177,866
995,611
887,474
825,300
466,184
361,83
304,74
149,57
103,72
145,310
275,1061
522,3024
780,2774
1254,2340
1811,2300
1837,2525
2461,2733
2443,2757
2246,2900
2061,3112
2135,3220
1812,3373
1673,2311
1199,1496
997,1055
674,927
469,537
310,367
167,193
101,139
72,94
66,53
108,79
336,309
1143,1081
3051,2949
2732,2698
2348,2274
2419,2277
2544,2394
2867,2595
2751,2567
2969,2868
3187,3060
3306,3059
3402,3148
2411,2182
1586,1572
1202,1094
863,847
518,599
364,351
202,177
141,90
75,66
66,61
93,77
312,297
1161,1097
3184,3041
2716,2743
2452,2369
2421,2324
2528,2545
2924,2777
2840,2772
3036,3005
3180,3176
3323,3217
3486,3408
2398,2569
1675,1798
1268,1353
892,929
562,656
396,389
170,230
125,121
103,91
72,77
91,80
312,305
1189,1033
3056,2747
2826,2847
2407,2989
2352,2662
2641,2605
3081,2844
3017,2868
2997,2952
3272,3090
3417,3196
3336,3260
2556,2400
1705,1707
1230,1243
870,978
676,704
381,408
199,222
120,165
95,114
74,73
82,93
293,299
1036,961
2349,2395
2495,2615
2206,2395
2194,2350
2460,2889
2675,3224
2687,3074
2861,3256
3030,3429
3153,3387
3097,3309
2318,2545
1735,1810
1185,1295
1008,1082
697,906
448,710
227,539
160,336
128,218
84,134
115,134
310,170
1040,366
2691,679
2712,1109
2510,1632
2547,2067
2823,2535
3316,2806
3305,2953
3441,2809
3417,2754
3505,2641
3410,2337
2601,2122
2092,1565
1531,1132
1291,1048
1053,904
851,711
517,508
344,352
316,275
152,122
143,113
184,134
416,299
715,473
1190,728
1724,1158
2080,1648
2419,1748
2727,2370
2623,2441
2767,2227
2505,2014
2276,1794
1960,1456
1825,1401
1371,963
1011,752
949,640
847,555
643,405
452,242
359,164
248,89
109,60
97,69
115,236
245,738
462,1452
772,1784
1236,1925
1745,2252
1878,2531
2410,2857
2467,2922
2437,2911
2233,2793
1970,2709
1805,2754
1731,2170
1148,1506
918,1044
681,703
695,548
516,340
292,174
189,100
123,75
82,51
110,81
271,322
753,1093
1497,3029
1845,2639
2084,2297
2405,2252
2517,2226
2862,2226
2895,2512
2822,2841
2898,2945
2927,2899
2763,3016
2195,2073
1654,1448
1049,1075
734,720
514,524
378,325
182,177
126,112
89,88
69,44
80,66
320,315
1174,1060
3056,2999
2792,2662
2551,2314
2294,2304
2593,2472
2860,2792
2807,2750
2955,2895
3048,3099
3254,3127
3314,3330
2427,2572
1765,1723
1192,1212
911,897
599,577
397,374
197,192
91,112
92,81
64,51
96,94
303,310
1187,1099
3100,2923
2755,2791
2522,2268
2429,2271
2585,2595
2847,2755
2745,2715
2903,2930
3193,3282
3214,3218
3410,3142
2559,2455
1817,1644
1300,1210
936,902
667,643
366,429
215,281
124,167
98,96
63,68
86,97
348,293
1160,1054
3049,2956
2738,2774
2456,2383
2314,2519
2564,2765
2895,3071
2806,3017
3037,3309
3294,3445
3248,3380
3323,3293
2515,2663
1790,1941
1354,1483
1005,1245
706,965
423,725
245,474
186,342
136,297
77,136
108,117
316,224
1114,415
3027,790
2903,1203
2584,1778
2566,2147
2775,2367
3218,2770
3218,2944
3295,2825
3482,2647
3473,2470
3624,2383
2775,2038
2061,1673
1527,1102
1274,1078
1019,790
788,738
468,473
367,313
291,268
139,145
132,110
205,126
437,291
1013,542
1401,799
1947,1312
2214,1870
2738,1880
2967,2490
2841,2504
2875,2460
2778,2201
2958,2179
2393,1944
2258,1571
1798,1304
1297,805
1062,657
925,505
723,315
458,182
357,112
272,66
133,58
90,87
121,320
284,1075
576,3051
929,2738
1430,2311
1923,2368
1908,2564
2532,2692
2453,2679
2375,2887
2231,3034
2190,3067
2016,3195
1775,2180
1303,1563
977,1077
651,801
511,520
337,331
195,159
103,91
62,76
73,44
96,70
306,315
1135,1118
3016,3060
2861,2721
2352,2303
2335,2289
2633,2485
2862,2698
2732,2679
2980,2909
3187,3076
3266,3178
3346,3307
2431,2482
1672,1635
1240,1235
868,873
569,577
321,347
171,177
94,92
86,93
50,42
90,82
307,283
1171,1077
3053,3074
2864,2690
2540,2297
2457,2293
2613,2585
2830,2789
2734,2600
3034,2965
3106,3138
3264,3181
3248,3351
2551,2468
1717,1666
1261,1302
952,882
556,604
385,393
220,200
125,113
73,108
66,69
100,86
324,334
1083,1108
2592,2945
2542,2796
2609,2326
2378,2386
2566,2576
2795,2753
2846,2853
2899,3044
3237,3155
3195,3233
3379,3306
2631,2480
1814,1736
1371,1292
962,972
673,671
405,422
221,244
117,161
109,129
72,82
87,85
320,294
1197,1094
3039,2885
2930,2657
2506,2447
2503,2610
2674,2812
2922,3214
2975,3243
3109,3429
3377,3705
3331,3524
3390,3453
2576,2765
1761,1884
1324,1321
959,1171
649,979
449,700
230,480
175,294
143,276
65,120
91,114
321,191
1127,380
3076,803
2689,1278
2518,1804
2609,2391
2920,2779
3242,3036
3177,3037
3463,2958
3458,2979
3509,2763
3393,2452
2716,2283
2042,1735
1570,1253
1285,1167
1030,875
763,688
476,538
325,366
292,255
163,135
121,115
211,125
435,274
895,554
1433,831
1950,1317
2483,1802
2798,1838
2989,2361
2940,2445
2777,2379
2676,2170
2808,1991
2457,1945
2304,1404
1797,818
1323,696
1162,554
982,962
752,496
481,217
345,130
276,82
130,50
91,91
128,323
281,1060
555,2970
890,2671
1385,2349
1841,2344
1921,2448
2459,2847
2430,2806
2408,2970
2208,3053
