hin,hout,
500,223
450,130
294,104
234,100
142,81
109,187
147,543
167,949
215,1194
272,1133
400,1148
612,1587
697,1936
717,1844
753,1823
834,1826
766,1743
791,1663
686,1143
574,873
479,713
420,748
323,626
235,420
160,455
96,471
59,348
71,226
77,152
201,91
615,135
1412,177
1481,233
1213,370
1225,496
1613,558
2279,602
2087,603
1753,733
1745,734
2091,719
2227,791
1269,683
881,553
634,454
662,383
401,360
274,266
219,198
136,133
103,86
96,61
109,83
187,151
638,397
1602,817
1641,1018
1266,943
1258,1129
1665,1501
2263,1771
2007,1702
1681,1753
1779,1674
2073,1666
2508,1554
1270,1068
893,915
712,706
568,612
433,513
307,541
232,342
107,246
109,239
122,143
110,103
181,139
583,231
1484,253
1686,417
1369,627
1387,744
1820,935
2347,1055
2177,1130
1919,1037
1999,999
2234,1060
2370,1074
1465,1005
1082,827
831,679
695,660
580,524
516,453
329,350
225,268
184,211
141,121
106,89
115,75
222,158
320,187
558,305
650,464
876,628
1083,698
1215,919
1273,1064
1234,1036
1273,1062
1117,1057
1130,1006
1162,966
971,759
667,604
669,464
729,347
490,294
327,196
262,119
234,82
113,65
85,84
79,194
147,730
200,1521
303,1722
482,1294
641,1247
775,1692
998,2306
1124,2056
1064,1806
1117,1775
1049,2177
1060,2405
953,1598
722,1012
603,748
445,781
367,487
288,318
203,237
127,124
94,100
70,91
112,92
215,195
648,766
1606,1586
1805,1739
1354,1247
1358,1286
1762,1590
2167,2124
2078,2044
1767,1724
1811,1783
2139,2120
2487,2471
1443,1489
1051,1021
733,781
596,651
444,515
374,355
277,224
156,153
94,115
89,100
110,85
194,205
703,743
1635,1485
1812,1661
1460,1298
1336,1201
1715,1628
2173,2146
2013,1982
1640,1743
1848,1784
2160,2175
2610,2554
1430,1399
1014,1042
783,843
670,635
488,546
348,384
231,259
140,151
103,109
80,97
98,85
191,189
657,726
1707,1546
1838,1813
1353,1234
1305,1330
1724,1696
2245,2248
2115,2194
1850,1879
1919,1993
2272,2304
2438,2611
1441,1561
995,1086
853,833
689,652
499,518
393,391
249,364
163,193
129,148
109,138
115,120
212,191
691,625
1724,1532
1912,1756
1406,1448
1437,1434
1737,1836
2323,2417
2141,2241
1889,1978
2049,2203
2373,2284
2629,2432
1570,1586
1142,1276
867,1008
703,857
607,787
461,599
277,424
215,256
192,221
157,185
126,137
257,125
651,263
1550,398
1808,586
1406,852
1361,972
1942,1208
2472,1365
2443,1442
2048,1518
2200,1428
2389,1487
2505,1432
1711,1545
1229,1121
1063,902
863,1159
834,683
667,614
456,494
338,397
288,315
216,201
150,130
161,115
257,167
411,254
601,347
875,601
1001,777
1262,952
1558,1250
1534,1372
1581,1428
1597,1407
1514,1457
1469,1407
1578,1296
1411,1144
862,959
983,775
1030,554
696,450
488,353
366,134
337,64
202,78
139,80
77,201
145,698
219,1742
397,2171
599,1568
729,1609
871,1894
1239,2524
1430,2422
1516,2077
1293,2216
1403,2513
1524,2856
1306,1907
1016,1394
969,1084
728,837
646,559
423,384
271,204
127,135
90,83
75,86
94,76
216,208
675,765
1836,1940
2216,2013
1706,1644
1707,1613
2123,1906
2660,2450
2538,2289
2305,1964
2359,2167
2667,2504
2899,2855
1850,1888
1413,1446
1102,1029
898,806
609,561
441,427
216,210
153,137
75,106
87,79
89,82
185,215
745,717
1979,1833
2026,2128
1887,1568
1907,1564
1956,1903
2601,2443
2500,2318
2162,2104
2321,2176
2495,2496
2841,2853
2056,1857
1443,1407
1060,1107
870,825
653,607
433,436
280,238
144,158
113,86
92,71
84,89
187,213
678,734
1898,1856
2167,2008
1733,1720
1619,1590
